,,,,Pitches ,Zone,Swing,Contact,SwStr,CallStr,Foul,CSW,Whiff/Sw ,F-Strk,Putaway,Heart,Shadow,Chase,Waste
"Stubbs, Garrett's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,6,100.0%,66.7%,66.7%,0.0%,33.3%,16.7%,33.3%,0.0%,16.7%,,83.3%,50.0%,0.0%,0.0%
"Suarez, Robert's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,6,100.0%,100.0%,100.0%,0.0%,0.0%,66.7%,0.0%,0.0%,0.0%,,50.0%,100.0%,0.0%,0.0%
"Suter, Brent's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,6,100.0%,83.3%,66.7%,16.7%,16.7%,66.7%,33.3%,20.0%,0.0%,75.0%,50.0%,133.3%,0.0%,0.0%
"Tate, Dillon's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,6,100.0%,66.7%,66.7%,0.0%,33.3%,33.3%,33.3%,0.0%,16.7%,50.0%,66.7%,50.0%,0.0%,0.0%
"White, Mitch's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,6,100.0%,83.3%,66.7%,16.7%,16.7%,33.3%,33.3%,20.0%,16.7%,33.3%,0.0%,166.7%,0.0%,0.0%
"Young, Alex's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,6,100.0%,83.3%,50.0%,33.3%,16.7%,0.0%,50.0%,40.0%,16.7%,40.0%,0.0%,116.7%,0.0%,0.0%
"Young, Alex's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,6,100.0%,50.0%,50.0%,0.0%,33.3%,16.7%,33.3%,0.0%,50.0%,0.0%,16.7%,100.0%,0.0%,0.0%
"Adon, Joan's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,5,100.0%,60.0%,40.0%,20.0%,20.0%,40.0%,40.0%,33.3%,20.0%,33.3%,40.0%,60.0%,0.0%,0.0%
"Alexy, A.J.'s SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,5,100.0%,40.0%,20.0%,20.0%,60.0%,0.0%,80.0%,50.0%,20.0%,100.0%,80.0%,40.0%,0.0%,0.0%
"Avila, Pedro's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,5,100.0%,80.0%,80.0%,0.0%,20.0%,40.0%,20.0%,0.0%,40.0%,0.0%,40.0%,60.0%,0.0%,0.0%
"Banks, Tanner's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,5,100.0%,60.0%,40.0%,20.0%,40.0%,20.0%,60.0%,33.3%,,0.0%,20.0%,100.0%,0.0%,0.0%
"Batten, Matthew's EP",3065 pitches for 778 pitchers,Other Pitch,Pitcher Pitch,5,100.0%,60.0%,60.0%,0.0%,40.0%,40.0%,40.0%,0.0%,60.0%,100.0%,40.0%,140.0%,0.0%,0.0%
"Blanco, Ronel's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,5,100.0%,100.0%,60.0%,40.0%,0.0%,20.0%,40.0%,40.0%,0.0%,200.0%,20.0%,100.0%,0.0%,0.0%
"Bleier, Richard's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,5,100.0%,80.0%,80.0%,0.0%,0.0%,40.0%,0.0%,0.0%,0.0%,0.0%,60.0%,60.0%,0.0%,0.0%
"Castro, Harold's FA",3065 pitches for 778 pitchers,Other Pitch,Pitcher Pitch,5,100.0%,60.0%,60.0%,0.0%,40.0%,20.0%,40.0%,0.0%,40.0%,100.0%,40.0%,140.0%,0.0%,0.0%
"Cisnero, José's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,5,100.0%,80.0%,40.0%,40.0%,0.0%,20.0%,40.0%,50.0%,20.0%,0.0%,0.0%,100.0%,0.0%,0.0%
"Culberson, Charlie's FA",3065 pitches for 778 pitchers,Other Pitch,Pitcher Pitch,5,100.0%,80.0%,60.0%,20.0%,20.0%,20.0%,40.0%,25.0%,20.0%,,40.0%,60.0%,0.0%,0.0%
"deGrom, Jacob's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,5,100.0%,40.0%,40.0%,0.0%,60.0%,40.0%,60.0%,0.0%,100.0%,,20.0%,80.0%,0.0%,0.0%
"Dunn, Justin's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,5,100.0%,80.0%,80.0%,0.0%,20.0%,0.0%,20.0%,0.0%,0.0%,100.0%,60.0%,40.0%,0.0%,0.0%
"Garza Jr., Ralph's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,5,100.0%,40.0%,40.0%,0.0%,60.0%,20.0%,60.0%,0.0%,20.0%,66.7%,20.0%,140.0%,0.0%,0.0%
"Griffin, Foster's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,5,100.0%,60.0%,60.0%,0.0%,40.0%,40.0%,40.0%,0.0%,20.0%,0.0%,0.0%,160.0%,0.0%,0.0%
"Hendrix, Ryan's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,5,100.0%,60.0%,0.0%,60.0%,20.0%,0.0%,80.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0%
"Hughes, Brandon's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,5,100.0%,60.0%,40.0%,20.0%,20.0%,40.0%,40.0%,33.3%,0.0%,0.0%,40.0%,60.0%,0.0%,0.0%
"Hughes, Brandon's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,5,100.0%,80.0%,80.0%,0.0%,20.0%,0.0%,20.0%,0.0%,0.0%,0.0%,60.0%,140.0%,0.0%,0.0%
"Kelly, Michael's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,5,100.0%,100.0%,100.0%,0.0%,0.0%,60.0%,0.0%,0.0%,40.0%,0.0%,60.0%,100.0%,0.0%,0.0%
"Kranick, Max's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,5,100.0%,20.0%,0.0%,20.0%,60.0%,0.0%,80.0%,100.0%,40.0%,150.0%,40.0%,60.0%,0.0%,0.0%
"Lakins Sr., Travis's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,5,100.0%,100.0%,100.0%,0.0%,0.0%,60.0%,0.0%,0.0%,0.0%,50.0%,100.0%,20.0%,0.0%,0.0%
"Lemoine, Jacob's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,5,100.0%,80.0%,60.0%,20.0%,20.0%,0.0%,40.0%,25.0%,20.0%,33.3%,40.0%,160.0%,0.0%,0.0%
"López, Reynaldo's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,5,100.0%,60.0%,60.0%,0.0%,40.0%,40.0%,40.0%,0.0%,0.0%,100.0%,60.0%,200.0%,0.0%,0.0%
"Mantiply, Joe's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,5,100.0%,80.0%,60.0%,20.0%,20.0%,20.0%,40.0%,25.0%,20.0%,50.0%,20.0%,120.0%,0.0%,0.0%
"Mayfield, Jack's KN",3065 pitches for 778 pitchers,Knuckleball (KN),Pitcher Pitch,5,100.0%,40.0%,40.0%,0.0%,40.0%,0.0%,40.0%,0.0%,40.0%,,40.0%,60.0%,0.0%,0.0%
"Megill, Trevor's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,5,100.0%,60.0%,60.0%,0.0%,40.0%,0.0%,40.0%,0.0%,0.0%,150.0%,40.0%,160.0%,0.0%,0.0%
"Middleton, Keynan's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,5,100.0%,100.0%,60.0%,60.0%,0.0%,40.0%,60.0%,60.0%,0.0%,0.0%,60.0%,80.0%,0.0%,0.0%
"Naile, James's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,5,100.0%,80.0%,80.0%,0.0%,20.0%,20.0%,20.0%,0.0%,20.0%,50.0%,20.0%,100.0%,0.0%,0.0%
"Neuse, Sheldon's FA",3065 pitches for 778 pitchers,Other Pitch,Pitcher Pitch,5,100.0%,40.0%,40.0%,0.0%,60.0%,0.0%,60.0%,0.0%,20.0%,0.0%,60.0%,40.0%,0.0%,0.0%
"O'Brien, Riley's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,5,100.0%,80.0%,60.0%,20.0%,20.0%,60.0%,40.0%,25.0%,20.0%,33.3%,40.0%,100.0%,0.0%,0.0%
"Ort, Kaleb's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,5,100.0%,80.0%,80.0%,0.0%,20.0%,0.0%,20.0%,0.0%,0.0%,,60.0%,100.0%,0.0%,0.0%
"Ragans, Cole's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,5,100.0%,100.0%,60.0%,40.0%,0.0%,40.0%,40.0%,40.0%,20.0%,100.0%,60.0%,100.0%,0.0%,0.0%
"Reyes, Denyi's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,5,100.0%,80.0%,60.0%,20.0%,20.0%,20.0%,40.0%,25.0%,20.0%,,20.0%,140.0%,0.0%,0.0%
"Reyes, Denyi's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,5,100.0%,80.0%,40.0%,40.0%,20.0%,0.0%,60.0%,50.0%,40.0%,0.0%,40.0%,100.0%,0.0%,0.0%
"Romo, Sergio's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,5,100.0%,80.0%,60.0%,20.0%,20.0%,40.0%,40.0%,25.0%,,33.3%,80.0%,40.0%,0.0%,0.0%
"Sánchez, Miguel's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,5,100.0%,60.0%,20.0%,40.0%,40.0%,0.0%,80.0%,66.7%,40.0%,50.0%,40.0%,120.0%,0.0%,0.0%
"Severino, Anderson's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,5,100.0%,80.0%,20.0%,60.0%,20.0%,0.0%,80.0%,75.0%,0.0%,100.0%,60.0%,140.0%,0.0%,0.0%
"Severino, Anderson's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,5,100.0%,40.0%,40.0%,0.0%,40.0%,20.0%,40.0%,0.0%,0.0%,50.0%,40.0%,60.0%,0.0%,0.0%
"Smeltzer, Devin's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,5,100.0%,40.0%,40.0%,0.0%,40.0%,40.0%,40.0%,0.0%,40.0%,0.0%,40.0%,80.0%,0.0%,0.0%
"Steckenrider, Drew's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,5,100.0%,60.0%,40.0%,20.0%,40.0%,0.0%,60.0%,33.3%,0.0%,100.0%,60.0%,80.0%,0.0%,0.0%
"Szapucki, Thomas's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,5,100.0%,60.0%,60.0%,0.0%,40.0%,20.0%,40.0%,0.0%,20.0%,,40.0%,60.0%,0.0%,0.0%
"Taylor, Michael A.'s FA",3065 pitches for 778 pitchers,Other Pitch,Pitcher Pitch,5,100.0%,80.0%,60.0%,20.0%,20.0%,0.0%,40.0%,25.0%,0.0%,,40.0%,80.0%,0.0%,0.0%
"Thompson, Ryan's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,5,100.0%,60.0%,60.0%,0.0%,40.0%,40.0%,40.0%,0.0%,20.0%,0.0%,60.0%,60.0%,0.0%,0.0%
"Thompson, Ryan's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,5,100.0%,100.0%,80.0%,20.0%,0.0%,40.0%,20.0%,20.0%,0.0%,0.0%,20.0%,100.0%,0.0%,0.0%
"Thompson, Zack's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,5,100.0%,100.0%,80.0%,20.0%,0.0%,80.0%,20.0%,20.0%,20.0%,0.0%,60.0%,40.0%,0.0%,0.0%
"Treinen, Blake's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,5,100.0%,80.0%,60.0%,40.0%,20.0%,40.0%,60.0%,50.0%,20.0%,100.0%,0.0%,100.0%,0.0%,0.0%
"Tyler, Kyle's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,5,100.0%,60.0%,60.0%,0.0%,20.0%,20.0%,20.0%,0.0%,40.0%,200.0%,40.0%,100.0%,0.0%,0.0%
"VanMeter, Josh's EP",3065 pitches for 778 pitchers,Other Pitch,Pitcher Pitch,5,100.0%,40.0%,40.0%,0.0%,60.0%,0.0%,60.0%,0.0%,40.0%,,20.0%,100.0%,0.0%,0.0%
"Wantz, Andrew's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,5,100.0%,80.0%,40.0%,40.0%,20.0%,0.0%,60.0%,50.0%,,0.0%,40.0%,120.0%,0.0%,0.0%
"Wentz, Joey's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,5,100.0%,40.0%,40.0%,0.0%,60.0%,0.0%,60.0%,0.0%,20.0%,0.0%,80.0%,80.0%,0.0%,0.0%
"Wilson, Justin's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,5,100.0%,80.0%,60.0%,20.0%,20.0%,40.0%,40.0%,25.0%,0.0%,100.0%,40.0%,160.0%,0.0%,0.0%
"Woods, William's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,5,100.0%,40.0%,40.0%,0.0%,60.0%,20.0%,60.0%,0.0%,0.0%,100.0%,80.0%,100.0%,0.0%,0.0%
"Ynoa, Huascar's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,5,100.0%,100.0%,100.0%,0.0%,0.0%,80.0%,0.0%,0.0%,0.0%,,40.0%,100.0%,0.0%,0.0%
"Zabala, Aneurys's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,5,100.0%,80.0%,60.0%,20.0%,20.0%,60.0%,40.0%,25.0%,20.0%,0.0%,40.0%,120.0%,0.0%,0.0%
"Adams, Austin's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,4,100.0%,75.0%,50.0%,25.0%,25.0%,25.0%,50.0%,33.3%,25.0%,0.0%,25.0%,125.0%,0.0%,0.0%
"Alcala, Jorge's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,4,100.0%,100.0%,50.0%,50.0%,0.0%,25.0%,50.0%,50.0%,25.0%,0.0%,25.0%,100.0%,0.0%,0.0%
"Alcantara, Sandy's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,4,100.0%,50.0%,50.0%,0.0%,25.0%,0.0%,25.0%,0.0%,25.0%,0.0%,25.0%,100.0%,0.0%,0.0%
"Alvarado, José's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,4,100.0%,50.0%,50.0%,0.0%,25.0%,50.0%,25.0%,0.0%,25.0%,100.0%,50.0%,125.0%,0.0%,0.0%
"Ashcraft, Graham's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,4,100.0%,75.0%,75.0%,0.0%,25.0%,25.0%,25.0%,0.0%,0.0%,0.0%,25.0%,100.0%,0.0%,0.0%
"Báez, Pedro's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,4,100.0%,75.0%,25.0%,50.0%,0.0%,0.0%,50.0%,66.7%,25.0%,100.0%,25.0%,75.0%,0.0%,0.0%
"Barraclough, Kyle's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,4,100.0%,75.0%,50.0%,25.0%,25.0%,0.0%,50.0%,33.3%,25.0%,,50.0%,125.0%,0.0%,0.0%
"Beasley, Jeremy's FS",3065 pitches for 778 pitchers,Split-finger (FS),Pitcher Pitch,4,100.0%,100.0%,50.0%,50.0%,0.0%,50.0%,50.0%,50.0%,0.0%,100.0%,25.0%,175.0%,0.0%,0.0%
"Beeks, Jalen's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,4,100.0%,100.0%,75.0%,0.0%,0.0%,25.0%,0.0%,0.0%,25.0%,,25.0%,125.0%,0.0%,0.0%
"Bolaños, Ronald's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,4,100.0%,100.0%,100.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,,25.0%,125.0%,0.0%,0.0%
"Bracho, Silvino's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,4,100.0%,50.0%,50.0%,0.0%,50.0%,0.0%,50.0%,0.0%,50.0%,,50.0%,50.0%,0.0%,0.0%
"Brasier, Ryan's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,4,100.0%,75.0%,50.0%,25.0%,25.0%,0.0%,50.0%,33.3%,,0.0%,25.0%,75.0%,0.0%,0.0%
"Brazoban, Huascar's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,4,100.0%,100.0%,75.0%,25.0%,0.0%,50.0%,25.0%,25.0%,25.0%,0.0%,25.0%,100.0%,0.0%,0.0%
"Burnes, Corbin's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,4,100.0%,50.0%,50.0%,50.0%,50.0%,0.0%,100.0%,100.0%,25.0%,,50.0%,75.0%,0.0%,0.0%
"Burr, Ryan's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,4,100.0%,100.0%,75.0%,25.0%,0.0%,0.0%,25.0%,25.0%,0.0%,33.3%,50.0%,100.0%,0.0%,0.0%
"Cano, Yennier's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,4,100.0%,75.0%,50.0%,25.0%,25.0%,25.0%,50.0%,33.3%,50.0%,0.0%,50.0%,75.0%,0.0%,0.0%
"Castellani, Ryan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,4,100.0%,75.0%,75.0%,0.0%,25.0%,75.0%,25.0%,0.0%,25.0%,0.0%,50.0%,125.0%,0.0%,0.0%
"Castillo, Diego's EP",3065 pitches for 778 pitchers,Other Pitch,Pitcher Pitch,4,100.0%,75.0%,25.0%,50.0%,25.0%,25.0%,75.0%,66.7%,0.0%,,75.0%,150.0%,0.0%,0.0%
"Castro, Kervin's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,4,100.0%,75.0%,75.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%,0.0%
"Chargois, JT's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,4,100.0%,50.0%,25.0%,25.0%,50.0%,0.0%,75.0%,50.0%,25.0%,100.0%,25.0%,75.0%,0.0%,0.0%
"Chavez, Jesse's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,4,100.0%,75.0%,50.0%,25.0%,25.0%,25.0%,50.0%,33.3%,25.0%,0.0%,25.0%,125.0%,0.0%,0.0%
"Clay, Sam's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,4,100.0%,25.0%,0.0%,25.0%,50.0%,0.0%,75.0%,100.0%,25.0%,50.0%,25.0%,150.0%,0.0%,0.0%
"Clippard, Tyler's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,4,100.0%,50.0%,50.0%,0.0%,50.0%,25.0%,50.0%,0.0%,25.0%,0.0%,50.0%,100.0%,0.0%,0.0%
"Coleman, Dylan's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,4,100.0%,75.0%,50.0%,25.0%,25.0%,0.0%,50.0%,33.3%,0.0%,0.0%,75.0%,50.0%,0.0%,0.0%
"De Los Santos, Yerry's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,4,100.0%,50.0%,50.0%,0.0%,50.0%,25.0%,50.0%,0.0%,25.0%,0.0%,50.0%,75.0%,0.0%,0.0%
"Dermody, Matt's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,4,100.0%,100.0%,75.0%,25.0%,0.0%,25.0%,25.0%,25.0%,25.0%,100.0%,50.0%,75.0%,0.0%,0.0%
"Dermody, Matt's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,4,100.0%,75.0%,75.0%,0.0%,25.0%,50.0%,25.0%,0.0%,25.0%,,100.0%,0.0%,0.0%,0.0%
"Diaz, Jhonathan's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,4,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,75.0%,175.0%,0.0%,0.0%
"Doolittle, Sean's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,4,100.0%,50.0%,25.0%,25.0%,50.0%,0.0%,75.0%,50.0%,25.0%,50.0%,25.0%,150.0%,0.0%,0.0%
"Erlin, Robbie's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,4,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%
"Escobar, Alcides's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,4,100.0%,75.0%,75.0%,0.0%,25.0%,0.0%,25.0%,0.0%,25.0%,,25.0%,100.0%,0.0%,0.0%
"Fulmer, Michael's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,4,100.0%,100.0%,75.0%,25.0%,0.0%,25.0%,25.0%,25.0%,0.0%,50.0%,50.0%,250.0%,0.0%,0.0%
"Garrett, Reed's FS",3065 pitches for 778 pitchers,Split-finger (FS),Pitcher Pitch,4,100.0%,100.0%,75.0%,25.0%,0.0%,0.0%,25.0%,25.0%,,100.0%,50.0%,50.0%,0.0%,0.0%
"Griffin, Foster's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,4,100.0%,75.0%,75.0%,0.0%,25.0%,0.0%,25.0%,0.0%,25.0%,0.0%,100.0%,75.0%,0.0%,0.0%
"Hatch, Thomas's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,4,100.0%,100.0%,75.0%,25.0%,0.0%,25.0%,25.0%,25.0%,,150.0%,25.0%,100.0%,0.0%,0.0%
"Head, Louis's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,4,100.0%,75.0%,50.0%,25.0%,25.0%,25.0%,50.0%,33.3%,0.0%,100.0%,25.0%,125.0%,0.0%,0.0%
"Henry, Tommy's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,4,100.0%,25.0%,0.0%,25.0%,75.0%,0.0%,100.0%,100.0%,75.0%,300.0%,25.0%,175.0%,0.0%,0.0%
"Hill, Rich's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,4,100.0%,25.0%,25.0%,0.0%,75.0%,0.0%,75.0%,0.0%,,,50.0%,50.0%,0.0%,0.0%
"Holton, Tyler's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,4,100.0%,50.0%,50.0%,0.0%,50.0%,50.0%,50.0%,0.0%,75.0%,0.0%,25.0%,75.0%,0.0%,0.0%
"Hunter, Tommy's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,4,100.0%,50.0%,50.0%,25.0%,50.0%,0.0%,75.0%,50.0%,25.0%,0.0%,50.0%,100.0%,0.0%,0.0%
"Irvin, Cole's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,4,100.0%,50.0%,25.0%,25.0%,25.0%,0.0%,50.0%,50.0%,25.0%,0.0%,50.0%,50.0%,0.0%,0.0%
"Kelly, Michael's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,4,100.0%,75.0%,50.0%,50.0%,25.0%,25.0%,75.0%,66.7%,50.0%,100.0%,75.0%,25.0%,0.0%,0.0%
"Kluber, Corey's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,4,100.0%,100.0%,75.0%,25.0%,0.0%,25.0%,25.0%,25.0%,0.0%,50.0%,50.0%,125.0%,0.0%,0.0%
"Knehr, Reiss's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,4,100.0%,75.0%,75.0%,0.0%,25.0%,25.0%,25.0%,0.0%,50.0%,0.0%,0.0%,150.0%,0.0%,0.0%
"Kopech, Michael's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,4,100.0%,100.0%,100.0%,0.0%,0.0%,25.0%,0.0%,0.0%,,0.0%,25.0%,125.0%,0.0%,0.0%
"Law, Derek's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,4,100.0%,75.0%,50.0%,50.0%,0.0%,0.0%,50.0%,66.7%,25.0%,100.0%,50.0%,50.0%,0.0%,0.0%
"Law, Derek's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,4,100.0%,50.0%,25.0%,25.0%,50.0%,0.0%,75.0%,50.0%,50.0%,,0.0%,125.0%,0.0%,0.0%
"Marte, Jose's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,4,100.0%,25.0%,25.0%,0.0%,75.0%,25.0%,75.0%,0.0%,25.0%,,25.0%,150.0%,0.0%,0.0%
"Maton, Phil's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,4,100.0%,100.0%,100.0%,0.0%,0.0%,50.0%,0.0%,0.0%,25.0%,,50.0%,50.0%,0.0%,0.0%
"McKay, David's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,4,100.0%,100.0%,100.0%,0.0%,0.0%,25.0%,0.0%,0.0%,25.0%,0.0%,25.0%,175.0%,0.0%,0.0%
"Morgan, Eli's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,4,100.0%,25.0%,25.0%,0.0%,75.0%,25.0%,75.0%,0.0%,75.0%,,50.0%,75.0%,0.0%,0.0%
"Nogosek, Stephen's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,4,100.0%,75.0%,75.0%,0.0%,25.0%,25.0%,25.0%,0.0%,,150.0%,25.0%,100.0%,0.0%,0.0%
"Ort, Kaleb's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,4,100.0%,50.0%,50.0%,0.0%,25.0%,50.0%,25.0%,0.0%,0.0%,33.3%,50.0%,100.0%,0.0%,0.0%
"Patton, Spencer's FS",3065 pitches for 778 pitchers,Split-finger (FS),Pitcher Pitch,4,100.0%,25.0%,25.0%,0.0%,50.0%,0.0%,50.0%,0.0%,0.0%,100.0%,25.0%,125.0%,0.0%,0.0%
"Plesac, Zach's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,4,100.0%,100.0%,100.0%,0.0%,0.0%,50.0%,0.0%,0.0%,25.0%,,100.0%,0.0%,0.0%,0.0%
"Reed, Jake's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,4,100.0%,50.0%,25.0%,25.0%,50.0%,0.0%,75.0%,50.0%,,100.0%,25.0%,100.0%,0.0%,0.0%
"Richards, Garrett's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,4,100.0%,25.0%,25.0%,0.0%,75.0%,25.0%,75.0%,0.0%,50.0%,,25.0%,125.0%,0.0%,0.0%
"Roberts, Ethan's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,4,100.0%,100.0%,100.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,,75.0%,50.0%,0.0%,0.0%
